Serial Number
	32879
Project ID
	03090018
Location
	Elgin
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		60        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-01,19:00:00,0,445.5,11.36
2,2016-12-01,19:15:00,0,445.2,11.39
3,2016-12-01,19:30:00,0,445.5,11.38
4,2016-12-01,19:45:00,0,445.1,11.38
5,2016-12-01,20:00:00,0,445.1,11.39
6,2016-12-01,20:15:00,0,446.0,11.39
7,2016-12-01,20:30:00,0,445.7,11.38
8,2016-12-01,20:45:00,0,445.7,11.39
9,2016-12-01,21:00:00,0,445.7,11.39
10,2016-12-01,21:15:00,0,445.7,11.39
11,2016-12-01,21:30:00,0,445.7,11.39
12,2016-12-01,21:45:00,0,446.1,11.39
13,2016-12-01,22:00:00,0,446.1,11.41
14,2016-12-01,22:15:00,0,446.4,11.40
15,2016-12-01,22:30:00,0,446.7,11.41
16,2016-12-01,22:45:00,0,446.7,11.42
17,2016-12-01,23:00:00,0,446.7,11.38
18,2016-12-01,23:15:00,0,446.9,11.40
19,2016-12-01,23:30:00,0,446.8,11.41
20,2016-12-01,23:45:00,0,446.7,11.41
21,2016-12-02,00:00:00,0,446.7,11.39
22,2016-12-02,00:15:00,0,446.8,11.40
23,2016-12-02,00:30:00,0,446.3,11.39
24,2016-12-02,00:45:00,0,446.9,11.40
25,2016-12-02,01:00:00,0,447.1,11.38
26,2016-12-02,01:15:00,0,447.2,11.41
27,2016-12-02,01:30:00,0,447.3,11.38
28,2016-12-02,01:45:00,0,447.2,11.39
29,2016-12-02,02:00:00,0,447.3,11.39
30,2016-12-02,02:15:00,0,447.7,11.38
31,2016-12-02,02:30:00,0,447.9,11.39
32,2016-12-02,02:45:00,0,447.5,11.38
33,2016-12-02,03:00:00,0,447.5,11.38
34,2016-12-02,03:15:00,0,447.5,11.38
35,2016-12-02,03:30:00,0,447.2,11.38
36,2016-12-02,03:45:00,0,447.3,11.38
37,2016-12-02,04:00:00,0,447.6,11.38
38,2016-12-02,04:15:00,0,447.6,11.39
39,2016-12-02,04:30:00,0,447.9,11.38
40,2016-12-02,04:45:00,0,447.7,11.39
41,2016-12-02,05:00:00,0,447.6,11.38
42,2016-12-02,05:15:00,0,447.3,11.40
43,2016-12-02,05:30:00,0,447.7,11.38
44,2016-12-02,05:45:00,0,448.3,11.38
45,2016-12-02,06:00:00,0,447.9,11.36
46,2016-12-02,06:15:00,0,445.9,11.36
47,2016-12-02,06:30:00,0,447.9,11.38
48,2016-12-02,06:45:00,0,448.0,11.39
49,2016-12-02,07:00:00,0,448.1,11.39
50,2016-12-02,07:15:00,0,448.1,11.38
51,2016-12-02,07:30:00,0,447.9,11.38
52,2016-12-02,07:45:00,0,448.1,11.38
53,2016-12-02,08:00:00,0,448.7,11.36
54,2016-12-02,08:15:00,0,448.0,11.38
55,2016-12-02,08:30:00,0,449.1,11.38
56,2016-12-02,08:45:00,0,448.8,11.38
57,2016-12-02,09:00:00,0,448.8,11.36
58,2016-12-02,09:15:00,0,448.4,11.38
59,2016-12-02,09:30:00,0,448.8,11.38
60,2016-12-02,09:45:00,0,448.7,11.38
61,2016-12-02,10:00:00,0,448.8,11.38
62,2016-12-02,10:15:00,0,449.1,11.38
63,2016-12-02,10:30:00,0,449.1,11.38
64,2016-12-02,10:45:00,0,448.9,11.36
65,2016-12-02,11:00:00,0,448.7,11.36
66,2016-12-02,11:15:00,0,449.1,11.38
67,2016-12-02,11:30:00,0,449.7,11.39
68,2016-12-02,11:45:00,0,449.2,11.38
69,2016-12-02,12:00:00,0,449.5,11.40
70,2016-12-02,12:15:00,0,449.5,11.36
71,2016-12-02,12:30:00,0,449.3,11.38
72,2016-12-02,12:45:00,0,449.1,11.36
73,2016-12-02,13:00:00,0,449.7,11.38
74,2016-12-02,13:15:00,0,449.5,11.36
75,2016-12-02,13:30:00,0,449.5,11.38
76,2016-12-02,13:45:00,0,449.7,11.38
77,2016-12-02,14:00:00,0,449.9,11.38
78,2016-12-02,14:15:00,0,449.7,11.38
79,2016-12-02,14:30:00,0,450.1,11.38
80,2016-12-02,14:45:00,0,450.1,11.38
81,2016-12-02,15:00:00,0,450.4,11.38
82,2016-12-02,15:15:00,0,450.3,11.38
83,2016-12-02,15:30:00,0,450.5,11.38
84,2016-12-02,15:45:00,0,450.8,11.38
85,2016-12-02,16:00:00,0,451.5,11.38
86,2016-12-02,16:15:00,0,451.2,11.36
87,2016-12-02,16:30:00,0,450.9,11.36
88,2016-12-02,16:45:00,0,451.3,11.38
89,2016-12-02,17:00:00,0,451.9,11.38
90,2016-12-02,17:15:00,0,451.9,11.38
91,2016-12-02,17:30:00,0,451.9,11.36
92,2016-12-02,17:45:00,0,452.1,11.39
93,2016-12-02,18:00:00,0,451.3,11.36
94,2016-12-02,18:15:00,0,452.0,11.36
95,2016-12-02,18:30:00,0,450.1,11.36
96,2016-12-02,18:45:00,0,451.9,11.38
97,2016-12-02,19:00:00,0,452.4,11.38
98,2016-12-02,19:15:00,0,452.4,11.38
99,2016-12-02,19:30:00,0,452.5,11.36
100,2016-12-02,19:45:00,0,452.9,11.36
101,2016-12-02,20:00:00,0,452.9,11.36
102,2016-12-02,20:15:00,0,452.8,11.32
103,2016-12-02,20:30:00,0,452.8,11.36
104,2016-12-02,20:45:00,0,452.8,11.36
105,2016-12-02,21:00:00,0,453.2,11.35
106,2016-12-02,21:15:00,0,452.7,11.38
107,2016-12-02,21:30:00,0,453.3,11.36
108,2016-12-02,21:45:00,0,453.2,11.35
109,2016-12-02,22:00:00,0,453.5,11.36
110,2016-12-02,22:15:00,0,453.3,11.35
111,2016-12-02,22:30:00,0,453.1,11.38
112,2016-12-02,22:45:00,0,452.0,11.36
113,2016-12-02,23:00:00,0,453.2,11.36
114,2016-12-02,23:15:00,0,453.3,11.36
115,2016-12-02,23:30:00,0,453.9,11.36
116,2016-12-02,23:45:00,0,453.9,11.36
117,2016-12-03,00:00:00,0,454.1,11.36
118,2016-12-03,00:15:00,0,454.3,11.36
119,2016-12-03,00:30:00,0,454.0,11.36
120,2016-12-03,00:45:00,0,454.0,11.35
121,2016-12-03,01:00:00,0,454.3,11.36
122,2016-12-03,01:15:00,0,454.5,11.36
123,2016-12-03,01:30:00,0,454.4,11.35
124,2016-12-03,01:45:00,0,455.2,11.35
125,2016-12-03,02:00:00,0,455.7,11.35
126,2016-12-03,02:15:00,0,455.2,11.34
127,2016-12-03,02:30:00,0,455.1,11.36
128,2016-12-03,02:45:00,0,455.7,11.35
129,2016-12-03,03:00:00,0,455.6,11.34
130,2016-12-03,03:15:00,0,455.7,11.36
131,2016-12-03,03:30:00,0,455.7,11.34
132,2016-12-03,03:45:00,0,455.7,11.34
133,2016-12-03,04:00:00,0,456.0,11.36
134,2016-12-03,04:15:00,0,455.9,11.35
135,2016-12-03,04:30:00,0,456.9,11.35
136,2016-12-03,04:45:00,0,456.4,11.35
137,2016-12-03,05:00:00,0,456.7,11.36
138,2016-12-03,05:15:00,0,456.9,11.36
139,2016-12-03,05:30:00,0,457.1,11.34
140,2016-12-03,05:45:00,0,456.9,11.35
141,2016-12-03,06:00:00,0,457.1,11.34
142,2016-12-03,06:15:00,0,456.7,11.34
143,2016-12-03,06:30:00,0,457.2,11.36
144,2016-12-03,06:45:00,0,457.6,11.34
145,2016-12-03,07:00:00,0,458.3,11.34
146,2016-12-03,07:15:00,0,458.3,11.34
147,2016-12-03,07:30:00,0,458.4,11.32
148,2016-12-03,07:45:00,0,458.7,11.34
149,2016-12-03,08:00:00,0,458.8,11.32
150,2016-12-03,08:15:00,0,458.7,11.34
151,2016-12-03,08:30:00,0,458.4,11.35
152,2016-12-03,08:45:00,0,458.8,11.34
153,2016-12-03,09:00:00,0,459.1,11.34
154,2016-12-03,09:15:00,0,458.8,11.32
155,2016-12-03,09:30:00,0,456.7,11.35
156,2016-12-03,09:45:00,0,458.8,11.34
157,2016-12-03,10:00:00,0,459.6,11.34
158,2016-12-03,10:15:00,0,459.6,11.32
159,2016-12-03,10:30:00,0,459.6,11.34
160,2016-12-03,10:45:00,0,459.9,11.34
161,2016-12-03,11:00:00,0,459.5,11.34
162,2016-12-03,11:15:00,0,458.8,11.34
163,2016-12-03,11:30:00,0,459.5,11.34
164,2016-12-03,11:45:00,0,459.6,11.34
165,2016-12-03,12:00:00,0,459.3,11.34
166,2016-12-03,12:15:00,0,459.9,11.34
167,2016-12-03,12:30:00,0,459.6,11.34
168,2016-12-03,12:45:00,0,459.5,11.34
169,2016-12-03,13:00:00,0,459.9,11.35
170,2016-12-03,13:15:00,0,459.9,11.34
171,2016-12-03,13:30:00,0,459.7,11.34
172,2016-12-03,13:45:00,0,460.0,11.34
173,2016-12-03,14:00:00,0,460.1,11.34
174,2016-12-03,14:15:00,0,460.0,11.34
175,2016-12-03,14:30:00,0,459.3,11.32
176,2016-12-03,14:45:00,0,460.0,11.32
177,2016-12-03,15:00:00,0,460.0,11.32
178,2016-12-03,15:15:00,0,460.8,11.33
179,2016-12-03,15:30:00,0,461.1,11.31
180,2016-12-03,15:45:00,0,461.2,11.33
181,2016-12-03,16:00:00,0,461.1,11.32
182,2016-12-03,16:15:00,0,461.2,11.32
183,2016-12-03,16:30:00,0,459.2,11.32
184,2016-12-03,16:45:00,0,460.9,11.32
185,2016-12-03,17:00:00,0,461.9,11.32
186,2016-12-03,17:15:00,0,461.6,11.32
187,2016-12-03,17:30:00,0,462.3,11.32
188,2016-12-03,17:45:00,0,462.4,11.31
189,2016-12-03,18:00:00,0,462.7,11.32
190,2016-12-03,18:15:00,0,462.8,11.30
191,2016-12-03,18:30:00,0,462.8,11.32
192,2016-12-03,18:45:00,0,462.9,11.28
193,2016-12-03,19:00:00,0,463.3,11.30
194,2016-12-03,19:15:00,0,463.1,11.31
195,2016-12-03,19:30:00,0,463.1,11.28
196,2016-12-03,19:45:00,0,463.5,11.28
197,2016-12-03,20:00:00,0,463.3,11.28
198,2016-12-03,20:15:00,0,464.0,11.27
199,2016-12-03,20:30:00,0,464.0,11.28
200,2016-12-03,20:45:00,0,463.6,11.30
201,2016-12-03,21:00:00,0,464.0,11.28
202,2016-12-03,21:15:00,0,462.5,11.25
203,2016-12-03,21:30:00,0,464.1,11.28
204,2016-12-03,21:45:00,0,463.9,11.28
205,2016-12-03,22:00:00,0,463.2,11.27
206,2016-12-03,22:15:00,0,464.1,11.27
207,2016-12-03,22:30:00,0,463.6,11.27
208,2016-12-03,22:45:00,0,463.9,11.26
209,2016-12-03,23:00:00,0,464.0,11.26
210,2016-12-03,23:15:00,0,464.0,11.28
211,2016-12-03,23:30:00,0,464.5,11.28
212,2016-12-03,23:45:00,0,464.5,11.27
213,2016-12-04,00:00:00,0,464.4,11.26
214,2016-12-04,00:15:00,0,464.7,11.30
215,2016-12-04,00:30:00,0,464.7,11.27
216,2016-12-04,00:45:00,0,464.3,11.30
217,2016-12-04,01:00:00,0,464.7,11.27
218,2016-12-04,01:15:00,0,464.5,11.27
219,2016-12-04,01:30:00,0,464.7,11.26
220,2016-12-04,01:45:00,0,464.5,11.27
221,2016-12-04,02:00:00,0,465.1,11.25
222,2016-12-04,02:15:00,0,464.9,11.25
223,2016-12-04,02:30:00,0,465.1,11.28
224,2016-12-04,02:45:00,0,465.2,11.26
225,2016-12-04,03:00:00,0,465.1,11.28
226,2016-12-04,03:15:00,0,465.5,11.27
227,2016-12-04,03:30:00,0,465.5,11.25
228,2016-12-04,03:45:00,0,465.7,11.25
229,2016-12-04,04:00:00,0,465.7,11.24
230,2016-12-04,04:15:00,0,465.1,11.26
231,2016-12-04,04:30:00,0,466.0,11.25
232,2016-12-04,04:45:00,0,466.0,11.27
233,2016-12-04,05:00:00,0,465.5,11.24
234,2016-12-04,05:15:00,0,464.9,11.26
235,2016-12-04,05:30:00,0,465.7,11.26
236,2016-12-04,05:45:00,0,465.7,11.24
237,2016-12-04,06:00:00,0,466.1,11.26
238,2016-12-04,06:15:00,0,466.1,11.25
239,2016-12-04,06:30:00,0,465.7,11.26
240,2016-12-04,06:45:00,0,465.7,11.26
241,2016-12-04,07:00:00,0,465.7,11.25
242,2016-12-04,07:15:00,0,466.0,11.26
243,2016-12-04,07:30:00,0,466.1,11.26
244,2016-12-04,07:45:00,0,466.4,11.24
245,2016-12-04,08:00:00,0,465.2,11.23
246,2016-12-04,08:15:00,0,466.4,11.24
247,2016-12-04,08:30:00,0,466.5,11.24
248,2016-12-04,08:45:00,0,465.5,11.20
249,2016-12-04,09:00:00,0,464.8,11.24
250,2016-12-04,09:15:00,0,466.7,11.24
251,2016-12-04,09:30:00,0,464.9,11.25
252,2016-12-04,09:45:00,0,466.9,11.25
253,2016-12-04,10:00:00,0,466.9,11.24
254,2016-12-04,10:15:00,0,467.2,11.25
255,2016-12-04,10:30:00,0,467.3,11.25
256,2016-12-04,10:45:00,0,467.3,11.25
257,2016-12-04,11:00:00,0,467.1,11.25
258,2016-12-04,11:15:00,0,467.2,11.25
259,2016-12-04,11:30:00,0,467.2,11.25
260,2016-12-04,11:45:00,0,466.8,11.24
261,2016-12-04,12:00:00,0,466.8,11.26
262,2016-12-04,12:15:00,0,466.5,11.25
263,2016-12-04,12:30:00,0,466.4,11.25
264,2016-12-04,12:45:00,0,466.3,11.22
265,2016-12-04,13:00:00,0,466.0,11.24
266,2016-12-04,13:15:00,0,466.4,11.24
267,2016-12-04,13:30:00,0,466.0,11.24
268,2016-12-04,13:45:00,0,466.1,11.24
269,2016-12-04,14:00:00,0,466.1,11.25
270,2016-12-04,14:15:00,0,466.0,11.24
271,2016-12-04,14:30:00,0,466.0,11.25
272,2016-12-04,14:45:00,0,466.1,11.24
273,2016-12-04,15:00:00,0,466.0,11.24
274,2016-12-04,15:15:00,0,465.7,11.25
275,2016-12-04,15:30:00,0,465.7,11.24
276,2016-12-04,15:45:00,0,465.7,11.25
277,2016-12-04,16:00:00,0,465.7,11.25
278,2016-12-04,16:15:00,0,465.5,11.26
279,2016-12-04,16:30:00,0,465.6,11.24
280,2016-12-04,16:45:00,0,465.5,11.25
281,2016-12-04,17:00:00,0,465.2,11.25
282,2016-12-04,17:15:00,0,464.9,11.24
283,2016-12-04,17:30:00,0,465.3,11.25
284,2016-12-04,17:45:00,0,464.5,11.25
285,2016-12-04,18:00:00,0,464.8,11.25
286,2016-12-04,18:15:00,0,465.6,11.25
287,2016-12-04,18:30:00,0,466.0,11.24
288,2016-12-04,18:45:00,0,465.1,11.26
289,2016-12-04,19:00:00,0,463.1,11.20
290,2016-12-04,19:15:00,0,464.5,11.24
291,2016-12-04,19:30:00,0,464.4,11.21
292,2016-12-04,19:45:00,0,464.1,11.25
293,2016-12-04,20:00:00,0,464.0,11.26
294,2016-12-04,20:15:00,0,463.5,11.26
295,2016-12-04,20:30:00,0,463.3,11.21
296,2016-12-04,20:45:00,0,463.3,11.23
297,2016-12-04,21:00:00,0,462.9,11.22
298,2016-12-04,21:15:00,0,462.4,11.25
299,2016-12-04,21:30:00,0,462.8,11.22
300,2016-12-04,21:45:00,0,462.5,11.24
301,2016-12-04,22:00:00,0,462.9,11.24
302,2016-12-04,22:15:00,0,462.3,11.20
303,2016-12-04,22:30:00,0,461.7,11.23
304,2016-12-04,22:45:00,0,462.1,11.23
305,2016-12-04,23:00:00,0,462.0,11.22
306,2016-12-04,23:15:00,0,461.3,11.22
307,2016-12-04,23:30:00,0,460.7,11.23
308,2016-12-04,23:45:00,0,460.7,11.24
309,2016-12-05,00:00:00,0,460.9,11.23
310,2016-12-05,00:15:00,0,460.4,11.24
311,2016-12-05,00:30:00,0,460.0,11.23
312,2016-12-05,00:45:00,0,459.7,11.22
313,2016-12-05,01:00:00,0,459.2,11.22
314,2016-12-05,01:15:00,0,459.2,11.22
315,2016-12-05,01:30:00,0,459.1,11.22
316,2016-12-05,01:45:00,0,458.5,11.24
317,2016-12-05,02:00:00,0,457.7,11.21
318,2016-12-05,02:15:00,0,458.8,11.20
319,2016-12-05,02:30:00,0,458.3,11.23
320,2016-12-05,02:45:00,0,457.9,11.22
321,2016-12-05,03:00:00,0,457.9,11.23
322,2016-12-05,03:15:00,0,457.2,11.22
323,2016-12-05,03:30:00,0,457.3,11.23
324,2016-12-05,03:45:00,0,456.8,11.21
325,2016-12-05,04:00:00,0,456.5,11.22
326,2016-12-05,04:15:00,0,456.4,11.23
327,2016-12-05,04:30:00,0,456.4,11.23
328,2016-12-05,04:45:00,0,456.4,11.24
329,2016-12-05,05:00:00,0,456.1,11.23
330,2016-12-05,05:15:00,0,455.7,11.23
331,2016-12-05,05:30:00,0,455.6,11.23
332,2016-12-05,05:45:00,0,455.5,11.23
333,2016-12-05,06:00:00,0,455.5,11.23
334,2016-12-05,06:15:00,0,454.8,11.23
335,2016-12-05,06:30:00,0,454.9,11.24
336,2016-12-05,06:45:00,0,454.7,11.22
337,2016-12-05,07:00:00,0,454.0,11.22
338,2016-12-05,07:15:00,0,453.6,11.23
339,2016-12-05,07:30:00,0,453.7,11.22
340,2016-12-05,07:45:00,0,452.8,11.23
341,2016-12-05,08:00:00,0,452.9,11.25
342,2016-12-05,08:15:00,0,452.8,11.22
343,2016-12-05,08:30:00,0,452.4,11.22
344,2016-12-05,08:45:00,0,452.8,11.22
345,2016-12-05,09:00:00,0,452.3,11.21
346,2016-12-05,09:15:00,0,452.3,11.20
347,2016-12-05,09:30:00,0,452.3,11.21
348,2016-12-05,09:45:00,0,452.1,11.20
349,2016-12-05,10:00:00,0,451.7,11.21
350,2016-12-05,10:15:00,0,451.7,11.22
351,2016-12-05,10:30:00,0,451.5,11.23
352,2016-12-05,10:45:00,0,451.2,11.21
353,2016-12-05,11:00:00,0,451.2,11.21
354,2016-12-05,11:15:00,0,450.8,11.20
355,2016-12-05,11:30:00,0,450.7,11.19
356,2016-12-05,11:45:00,0,451.1,11.19
357,2016-12-05,12:00:00,0,450.7,11.21
358,2016-12-05,12:15:00,0,450.7,11.22
359,2016-12-05,12:30:00,0,450.5,11.19
360,2016-12-05,12:45:00,0,449.2,11.17
361,2016-12-05,13:00:00,0,450.8,11.20
362,2016-12-05,13:15:00,0,450.8,11.20
363,2016-12-05,13:30:00,0,449.1,11.17
364,2016-12-05,13:45:00,0,450.5,11.17
365,2016-12-05,14:00:00,0,451.5,11.20
366,2016-12-05,14:15:00,0,452.0,11.20
367,2016-12-05,14:30:00,0,452.0,11.20
368,2016-12-05,14:45:00,0,452.3,11.18
369,2016-12-05,15:00:00,0,452.0,11.12
370,2016-12-05,15:15:00,0,452.1,11.16
371,2016-12-05,15:30:00,0,452.4,11.16
372,2016-12-05,15:45:00,0,452.7,11.17
373,2016-12-05,16:00:00,0,452.5,11.12
374,2016-12-05,16:15:00,0,453.3,11.15
375,2016-12-05,16:30:00,0,453.7,11.17
376,2016-12-05,16:45:00,0,453.5,11.16
377,2016-12-05,17:00:00,0,453.6,11.16
378,2016-12-05,17:15:00,0,454.0,11.15
379,2016-12-05,17:30:00,0,454.1,11.17
380,2016-12-05,17:45:00,0,454.1,11.16
381,2016-12-05,18:00:00,0,454.5,11.17
382,2016-12-05,18:15:00,0,453.7,11.12
383,2016-12-05,18:30:00,0,454.4,11.09
384,2016-12-05,18:45:00,0,454.5,11.12
385,2016-12-05,19:00:00,0,455.3,11.13
386,2016-12-05,19:15:00,0,452.7,11.11
387,2016-12-05,19:30:00,0,455.2,11.11
388,2016-12-05,19:45:00,0,455.1,11.12
389,2016-12-05,20:00:00,0,455.2,11.12
390,2016-12-05,20:15:00,0,455.6,11.14
391,2016-12-05,20:30:00,0,456.0,11.15
392,2016-12-05,20:45:00,0,455.9,11.10
393,2016-12-05,21:00:00,0,455.6,11.09
394,2016-12-05,21:15:00,0,455.7,11.11
395,2016-12-05,21:30:00,0,456.0,11.10
396,2016-12-05,21:45:00,0,455.7,11.09
397,2016-12-05,22:00:00,0,456.1,11.12
398,2016-12-05,22:15:00,0,456.0,11.12
399,2016-12-05,22:30:00,0,456.1,11.09
400,2016-12-05,22:45:00,0,456.3,11.08
401,2016-12-05,23:00:00,0,456.4,11.10
402,2016-12-05,23:15:00,0,456.3,11.11
403,2016-12-05,23:30:00,0,456.7,11.09
404,2016-12-05,23:45:00,0,457.2,11.08
405,2016-12-06,00:00:00,0,456.7,11.07
406,2016-12-06,00:15:00,0,456.9,11.08
407,2016-12-06,00:30:00,0,457.2,11.08
408,2016-12-06,00:45:00,0,457.2,11.09
409,2016-12-06,01:00:00,0,456.9,11.10
410,2016-12-06,01:15:00,0,457.5,11.09
411,2016-12-06,01:30:00,0,457.3,11.11
412,2016-12-06,01:45:00,0,457.3,11.10
413,2016-12-06,02:00:00,0,458.3,11.08
414,2016-12-06,02:15:00,0,458.4,11.10
415,2016-12-06,02:30:00,0,458.7,11.11
416,2016-12-06,02:45:00,0,458.4,11.12
417,2016-12-06,03:00:00,0,458.4,11.12
418,2016-12-06,03:15:00,0,458.9,11.12
419,2016-12-06,03:30:00,0,458.7,11.12
420,2016-12-06,03:45:00,0,458.9,11.12
421,2016-12-06,04:00:00,0,459.2,11.08
422,2016-12-06,04:15:00,0,458.7,11.07
423,2016-12-06,04:30:00,0,459.2,11.08
424,2016-12-06,04:45:00,0,459.3,11.08
425,2016-12-06,05:00:00,0,459.6,11.08
426,2016-12-06,05:15:00,0,459.3,11.08
427,2016-12-06,05:30:00,0,460.0,11.08
428,2016-12-06,05:45:00,0,459.6,11.08
429,2016-12-06,06:00:00,0,459.7,11.08
430,2016-12-06,06:15:00,0,459.7,11.11
431,2016-12-06,06:30:00,0,459.6,11.10
432,2016-12-06,06:45:00,0,459.7,11.11
433,2016-12-06,07:00:00,0,459.6,11.11
434,2016-12-06,07:15:00,0,459.2,11.07
435,2016-12-06,07:30:00,0,458.7,11.04
436,2016-12-06,07:45:00,0,459.7,11.11
437,2016-12-06,08:00:00,0,459.3,11.10
438,2016-12-06,08:15:00,0,459.6,11.08
439,2016-12-06,08:30:00,0,459.3,11.12
440,2016-12-06,08:45:00,0,459.6,11.10
441,2016-12-06,09:00:00,0,459.6,11.11
442,2016-12-06,09:15:00,0,459.2,11.06
443,2016-12-06,09:30:00,0,458.8,11.04
444,2016-12-06,09:45:00,0,459.9,11.09
445,2016-12-06,10:00:00,0,459.2,11.07
446,2016-12-06,10:15:00,0,459.1,11.08
447,2016-12-06,10:30:00,0,459.2,11.08
448,2016-12-06,10:45:00,0,459.3,11.08
449,2016-12-06,11:00:00,0,458.4,11.06
450,2016-12-06,11:15:00,0,458.4,11.08
451,2016-12-06,11:30:00,0,457.6,11.08
452,2016-12-06,11:45:00,0,458.5,11.08
453,2016-12-06,12:00:00,0,458.1,11.08
454,2016-12-06,12:15:00,0,457.7,11.09
455,2016-12-06,12:30:00,0,457.9,11.08
456,2016-12-06,12:45:00,0,457.9,11.08
457,2016-12-06,13:00:00,0,457.6,11.08
458,2016-12-06,13:15:00,0,456.9,11.07
459,2016-12-06,13:30:00,0,456.1,11.06
460,2016-12-06,13:45:00,0,456.9,11.08
461,2016-12-06,14:00:00,0,456.1,11.07
462,2016-12-06,14:15:00,0,457.2,11.09
463,2016-12-06,14:30:00,0,456.7,11.08
464,2016-12-06,14:45:00,0,456.7,11.09
465,2016-12-06,15:00:00,0,455.3,11.07
466,2016-12-06,15:15:00,0,456.0,11.08
467,2016-12-06,15:30:00,0,456.1,11.12
468,2016-12-06,15:45:00,0,456.5,11.08
469,2016-12-06,16:00:00,0,455.6,11.09
470,2016-12-06,16:15:00,0,456.0,11.10
471,2016-12-06,16:30:00,0,455.6,11.05
472,2016-12-06,16:45:00,0,455.6,11.08
473,2016-12-06,17:00:00,0,456.1,11.12
474,2016-12-06,17:15:00,0,456.0,11.11
475,2016-12-06,17:30:00,0,455.5,11.10
476,2016-12-06,17:45:00,0,455.9,11.08
477,2016-12-06,18:00:00,0,455.6,11.09
478,2016-12-06,18:15:00,0,455.3,11.08
479,2016-12-06,18:30:00,0,454.7,11.08
480,2016-12-06,18:45:00,0,455.9,11.07
481,2016-12-06,19:00:00,0,455.1,11.07
482,2016-12-06,19:15:00,0,455.1,11.05
483,2016-12-06,19:30:00,0,455.5,11.04
484,2016-12-06,19:45:00,0,454.9,11.08
485,2016-12-06,20:00:00,0,455.3,11.11
486,2016-12-06,20:15:00,0,454.3,11.08
487,2016-12-06,20:30:00,0,454.5,11.11
488,2016-12-06,20:45:00,0,454.4,11.10
489,2016-12-06,21:00:00,0,454.7,11.10
490,2016-12-06,21:15:00,0,454.5,11.09
491,2016-12-06,21:30:00,0,454.4,11.12
492,2016-12-06,21:45:00,0,453.9,11.10
493,2016-12-06,22:00:00,0,453.9,11.08
494,2016-12-06,22:15:00,0,454.0,11.05
495,2016-12-06,22:30:00,0,453.9,11.05
496,2016-12-06,22:45:00,0,453.3,11.07
497,2016-12-06,23:00:00,0,453.2,11.06
498,2016-12-06,23:15:00,0,452.8,11.04
499,2016-12-06,23:30:00,0,452.8,11.08
500,2016-12-06,23:45:00,0,452.8,11.04
501,2016-12-07,00:00:00,0,452.4,11.05
502,2016-12-07,00:15:00,0,452.4,11.05
503,2016-12-07,00:30:00,0,451.9,11.05
504,2016-12-07,00:45:00,0,452.1,11.05
505,2016-12-07,01:00:00,0,452.4,11.06
506,2016-12-07,01:15:00,0,452.0,11.06
507,2016-12-07,01:30:00,0,451.6,11.06
508,2016-12-07,01:45:00,0,451.9,11.05
509,2016-12-07,02:00:00,0,452.0,11.05
510,2016-12-07,02:15:00,0,451.7,11.07
511,2016-12-07,02:30:00,0,451.7,11.08
512,2016-12-07,02:45:00,0,451.5,11.07
513,2016-12-07,03:00:00,0,451.2,11.06
514,2016-12-07,03:15:00,0,451.5,11.02
515,2016-12-07,03:30:00,0,451.2,11.01
516,2016-12-07,03:45:00,0,450.7,11.00
517,2016-12-07,04:00:00,0,450.7,11.00
518,2016-12-07,04:15:00,0,450.8,11.00
519,2016-12-07,04:30:00,0,450.8,11.00
520,2016-12-07,04:45:00,0,450.4,11.00
521,2016-12-07,05:00:00,0,450.7,11.00
522,2016-12-07,05:15:00,0,450.3,11.02
523,2016-12-07,05:30:00,0,450.0,11.00
524,2016-12-07,05:45:00,0,450.1,11.00
525,2016-12-07,06:00:00,0,450.1,11.00
526,2016-12-07,06:15:00,0,449.6,11.02
527,2016-12-07,06:30:00,0,450.0,11.02
528,2016-12-07,06:45:00,0,449.3,11.04
529,2016-12-07,07:00:00,0,450.3,11.04
530,2016-12-07,07:15:00,0,449.6,11.04
531,2016-12-07,07:30:00,0,449.7,11.04
532,2016-12-07,07:45:00,0,449.7,11.04
533,2016-12-07,08:00:00,0,450.1,11.02
534,2016-12-07,08:15:00,0,450.4,11.00
535,2016-12-07,08:30:00,0,449.7,11.00
536,2016-12-07,08:45:00,0,449.7,11.02
537,2016-12-07,09:00:00,0,449.7,11.02
538,2016-12-07,09:15:00,0,449.6,11.04
539,2016-12-07,09:30:00,0,449.6,11.02
540,2016-12-07,09:45:00,0,449.3,11.02
541,2016-12-07,10:00:00,0,449.7,11.01
542,2016-12-07,10:15:00,0,449.3,11.01
543,2016-12-07,10:30:00,0,449.7,10.99
544,2016-12-07,10:45:00,0,449.1,11.00
545,2016-12-07,11:00:00,0,449.1,11.00
546,2016-12-07,11:15:00,0,449.3,11.01
547,2016-12-07,11:30:00,0,449.2,11.02
548,2016-12-07,11:45:00,0,449.3,11.04
549,2016-12-07,12:00:00,0,449.5,11.04
550,2016-12-07,12:15:00,0,449.5,11.04
551,2016-12-07,12:30:00,0,449.7,11.06
552,2016-12-07,12:45:00,0,449.3,11.04
553,2016-12-07,13:00:00,0,450.1,11.04
