Serial Number
	29552
Project ID
	03090006
Location
	Franklin_roc
Channel 1
	Identification
		LEVEL
	Offset
		0.00      cm
	Range
		1000.00   cm
	Altitude
		60        m
Channel 2
	Identification
		TEMPERATURE
	Offset
		-20.00    Deg C
	Range
		100.00    Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-12-01,13:00:00,0,601.6,9.27
2,2016-12-01,13:15:00,0,601.5,9.29
3,2016-12-01,13:30:00,0,600.9,9.29
4,2016-12-01,13:45:00,0,601.6,9.30
5,2016-12-01,14:00:00,0,601.9,9.29
6,2016-12-01,14:15:00,0,601.7,9.29
7,2016-12-01,14:30:00,0,601.6,9.29
8,2016-12-01,14:45:00,0,601.9,9.29
9,2016-12-01,15:00:00,0,601.5,9.29
10,2016-12-01,15:15:00,0,601.2,9.30
11,2016-12-01,15:30:00,0,602.3,9.31
12,2016-12-01,15:45:00,0,602.7,9.30
13,2016-12-01,16:00:00,0,601.6,9.29
14,2016-12-01,16:15:00,0,602.4,9.30
15,2016-12-01,16:30:00,0,603.2,9.33
16,2016-12-01,16:45:00,0,602.7,9.29
17,2016-12-01,17:00:00,0,602.7,9.29
18,2016-12-01,17:15:00,0,604.0,9.31
19,2016-12-01,17:30:00,0,603.3,9.29
20,2016-12-01,17:45:00,0,603.2,9.30
21,2016-12-01,18:00:00,0,603.3,9.30
22,2016-12-01,18:15:00,0,603.9,9.29
23,2016-12-01,18:30:00,0,604.0,9.31
24,2016-12-01,18:45:00,0,602.8,9.29
25,2016-12-01,19:00:00,0,603.3,9.30
26,2016-12-01,19:15:00,0,603.7,9.29
27,2016-12-01,19:30:00,0,603.6,9.28
28,2016-12-01,19:45:00,0,603.6,9.30
29,2016-12-01,20:00:00,0,603.7,9.29
30,2016-12-01,20:15:00,0,604.3,9.29
31,2016-12-01,20:30:00,0,604.0,9.29
32,2016-12-01,20:45:00,0,603.9,9.29
33,2016-12-01,21:00:00,0,604.4,9.29
34,2016-12-01,21:15:00,0,604.9,9.30
35,2016-12-01,21:30:00,0,604.0,9.30
36,2016-12-01,21:45:00,0,604.4,9.30
37,2016-12-01,22:00:00,0,604.8,9.32
38,2016-12-01,22:15:00,0,605.5,9.29
39,2016-12-01,22:30:00,0,605.6,9.30
40,2016-12-01,22:45:00,0,604.5,9.30
41,2016-12-01,23:00:00,0,605.3,9.31
42,2016-12-01,23:15:00,0,605.7,9.31
43,2016-12-01,23:30:00,0,605.2,9.33
44,2016-12-01,23:45:00,0,605.2,9.33
45,2016-12-02,00:00:00,0,605.5,9.33
46,2016-12-02,00:15:00,0,606.3,9.31
47,2016-12-02,00:30:00,0,605.9,9.33
48,2016-12-02,00:45:00,0,605.3,9.33
49,2016-12-02,01:00:00,0,605.7,9.32
50,2016-12-02,01:15:00,0,606.0,9.31
51,2016-12-02,01:30:00,0,606.0,9.33
52,2016-12-02,01:45:00,0,605.6,9.31
53,2016-12-02,02:00:00,0,607.1,9.31
54,2016-12-02,02:15:00,0,607.5,9.31
55,2016-12-02,02:30:00,0,606.4,9.32
56,2016-12-02,02:45:00,0,606.9,9.33
57,2016-12-02,03:00:00,0,607.7,9.29
58,2016-12-02,03:15:00,0,607.3,9.33
59,2016-12-02,03:30:00,0,606.9,9.33
60,2016-12-02,03:45:00,0,607.5,9.29
61,2016-12-02,04:00:00,0,608.0,9.31
62,2016-12-02,04:15:00,0,607.2,9.32
63,2016-12-02,04:30:00,0,607.9,9.32
64,2016-12-02,04:45:00,0,608.1,9.31
65,2016-12-02,05:00:00,0,608.3,9.30
66,2016-12-02,05:15:00,0,608.0,9.33
67,2016-12-02,05:30:00,0,608.5,9.30
68,2016-12-02,05:45:00,0,609.2,9.33
69,2016-12-02,06:00:00,0,608.4,9.32
70,2016-12-02,06:15:00,0,608.8,9.32
71,2016-12-02,06:30:00,0,609.2,9.32
72,2016-12-02,06:45:00,0,609.1,9.31
73,2016-12-02,07:00:00,0,608.5,9.32
74,2016-12-02,07:15:00,0,609.1,9.31
75,2016-12-02,07:30:00,0,609.3,9.32
76,2016-12-02,07:45:00,0,609.7,9.31
77,2016-12-02,08:00:00,0,609.9,9.33
78,2016-12-02,08:15:00,0,609.3,9.33
79,2016-12-02,08:30:00,0,609.7,9.29
80,2016-12-02,08:45:00,0,609.9,9.30
81,2016-12-02,09:00:00,0,609.6,9.31
82,2016-12-02,09:15:00,0,608.9,9.33
83,2016-12-02,09:30:00,0,609.1,9.31
84,2016-12-02,09:45:00,0,608.8,9.31
85,2016-12-02,10:00:00,0,608.0,9.33
86,2016-12-02,10:15:00,0,607.7,9.33
87,2016-12-02,10:30:00,0,608.3,9.31
88,2016-12-02,10:45:00,0,609.1,9.31
89,2016-12-02,11:00:00,0,607.6,9.31
90,2016-12-02,11:15:00,0,609.1,9.33
91,2016-12-02,11:30:00,0,608.9,9.31
92,2016-12-02,11:45:00,0,609.1,9.32
93,2016-12-02,12:00:00,0,609.2,9.31
94,2016-12-02,12:15:00,0,609.1,9.30
95,2016-12-02,12:30:00,0,609.3,9.31
96,2016-12-02,12:45:00,0,608.5,9.31
97,2016-12-02,13:00:00,0,609.1,9.32
98,2016-12-02,13:15:00,0,610.0,9.30
99,2016-12-02,13:30:00,0,608.9,9.29
100,2016-12-02,13:45:00,0,609.9,9.31
101,2016-12-02,14:00:00,0,610.7,9.29
102,2016-12-02,14:15:00,0,610.9,9.33
103,2016-12-02,14:30:00,0,611.5,9.31
104,2016-12-02,14:45:00,0,611.5,9.31
105,2016-12-02,15:00:00,0,610.8,9.31
106,2016-12-02,15:15:00,0,610.8,9.32
107,2016-12-02,15:30:00,0,611.6,9.30
108,2016-12-02,15:45:00,0,611.7,9.31
109,2016-12-02,16:00:00,0,612.3,9.32
110,2016-12-02,16:15:00,0,612.1,9.31
111,2016-12-02,16:30:00,0,612.7,9.31
112,2016-12-02,16:45:00,0,612.8,9.32
113,2016-12-02,17:00:00,0,612.8,9.31
114,2016-12-02,17:15:00,0,612.1,9.31
115,2016-12-02,17:30:00,0,611.6,9.33
116,2016-12-02,17:45:00,0,612.1,9.31
117,2016-12-02,18:00:00,0,611.9,9.33
118,2016-12-02,18:15:00,0,611.9,9.33
119,2016-12-02,18:30:00,0,611.7,9.31
120,2016-12-02,18:45:00,0,611.7,9.32
121,2016-12-02,19:00:00,0,610.8,9.31
122,2016-12-02,19:15:00,0,611.6,9.32
123,2016-12-02,19:30:00,0,612.5,9.33
124,2016-12-02,19:45:00,0,611.3,9.32
125,2016-12-02,20:00:00,0,611.6,9.32
126,2016-12-02,20:15:00,0,611.9,9.33
127,2016-12-02,20:30:00,0,612.0,9.32
128,2016-12-02,20:45:00,0,611.7,9.33
129,2016-12-02,21:00:00,0,611.9,9.33
130,2016-12-02,21:15:00,0,612.4,9.33
131,2016-12-02,21:30:00,0,611.7,9.33
132,2016-12-02,21:45:00,0,612.1,9.33
133,2016-12-02,22:00:00,0,612.4,9.32
134,2016-12-02,22:15:00,0,612.1,9.33
135,2016-12-02,22:30:00,0,611.6,9.33
136,2016-12-02,22:45:00,0,612.5,9.33
137,2016-12-02,23:00:00,0,612.8,9.33
138,2016-12-02,23:15:00,0,612.7,9.32
139,2016-12-02,23:30:00,0,612.8,9.33
140,2016-12-02,23:45:00,0,613.3,9.33
141,2016-12-03,00:00:00,0,613.5,9.33
142,2016-12-03,00:15:00,0,613.1,9.33
143,2016-12-03,00:30:00,0,613.5,9.33
144,2016-12-03,00:45:00,0,614.0,9.33
145,2016-12-03,01:00:00,0,614.3,9.33
146,2016-12-03,01:15:00,0,613.7,9.32
147,2016-12-03,01:30:00,0,614.3,9.33
148,2016-12-03,01:45:00,0,614.4,9.33
149,2016-12-03,02:00:00,0,614.5,9.33
150,2016-12-03,02:15:00,0,614.3,9.31
151,2016-12-03,02:30:00,0,615.5,9.33
152,2016-12-03,02:45:00,0,615.6,9.33
153,2016-12-03,03:00:00,0,614.8,9.33
154,2016-12-03,03:15:00,0,615.3,9.31
155,2016-12-03,03:30:00,0,616.4,9.33
156,2016-12-03,03:45:00,0,616.1,9.33
157,2016-12-03,04:00:00,0,615.7,9.33
158,2016-12-03,04:15:00,0,616.5,9.30
159,2016-12-03,04:30:00,0,617.5,9.33
160,2016-12-03,04:45:00,0,616.5,9.33
161,2016-12-03,05:00:00,0,617.1,9.32
162,2016-12-03,05:15:00,0,618.0,9.32
163,2016-12-03,05:30:00,0,618.0,9.33
164,2016-12-03,05:45:00,0,617.7,9.32
165,2016-12-03,06:00:00,0,618.3,9.33
166,2016-12-03,06:15:00,0,619.2,9.33
167,2016-12-03,06:30:00,0,618.5,9.33
168,2016-12-03,06:45:00,0,618.5,9.35
169,2016-12-03,07:00:00,0,619.9,9.16
170,2016-12-03,07:15:00,0,620.3,9.33
171,2016-12-03,07:30:00,0,619.9,9.33
172,2016-12-03,07:45:00,0,620.5,9.35
173,2016-12-03,08:00:00,0,621.3,9.32
174,2016-12-03,08:15:00,0,620.5,9.33
175,2016-12-03,08:30:00,0,620.3,9.33
176,2016-12-03,08:45:00,0,621.2,9.32
177,2016-12-03,09:00:00,0,621.3,9.35
178,2016-12-03,09:15:00,0,621.1,9.33
179,2016-12-03,09:30:00,0,621.6,9.33
180,2016-12-03,09:45:00,0,622.3,9.33
181,2016-12-03,10:00:00,0,621.3,9.32
182,2016-12-03,10:15:00,0,621.3,9.33
183,2016-12-03,10:30:00,0,621.9,9.35
184,2016-12-03,10:45:00,0,620.7,9.33
185,2016-12-03,11:00:00,0,620.1,9.33
186,2016-12-03,11:15:00,0,621.1,9.33
187,2016-12-03,11:30:00,0,620.8,9.33
188,2016-12-03,11:45:00,0,620.3,9.33
189,2016-12-03,12:00:00,0,620.7,9.33
190,2016-12-03,12:15:00,0,621.6,9.33
191,2016-12-03,12:30:00,0,620.5,9.35
192,2016-12-03,12:45:00,0,621.3,9.33
193,2016-12-03,13:00:00,0,621.3,9.35
194,2016-12-03,13:15:00,0,621.6,9.32
195,2016-12-03,13:30:00,0,621.3,9.35
196,2016-12-03,13:45:00,0,621.2,9.32
197,2016-12-03,14:00:00,0,622.1,9.33
198,2016-12-03,14:15:00,0,620.9,9.35
199,2016-12-03,14:30:00,0,621.3,9.35
200,2016-12-03,14:45:00,0,621.6,9.35
201,2016-12-03,15:00:00,0,622.0,9.33
202,2016-12-03,15:15:00,0,621.3,9.33
203,2016-12-03,15:30:00,0,622.3,9.33
204,2016-12-03,15:45:00,0,622.4,9.33
205,2016-12-03,16:00:00,0,621.6,9.33
206,2016-12-03,16:15:00,0,621.9,9.33
207,2016-12-03,16:30:00,0,622.5,9.33
208,2016-12-03,16:45:00,0,622.9,9.33
209,2016-12-03,17:00:00,0,621.9,9.35
210,2016-12-03,17:15:00,0,622.9,9.33
211,2016-12-03,17:30:00,0,623.7,9.35
212,2016-12-03,17:45:00,0,623.2,9.35
213,2016-12-03,18:00:00,0,623.1,9.33
214,2016-12-03,18:15:00,0,623.7,9.35
215,2016-12-03,18:30:00,0,623.5,9.35
216,2016-12-03,18:45:00,0,623.3,9.35
217,2016-12-03,19:00:00,0,623.7,9.33
218,2016-12-03,19:15:00,0,624.4,9.35
219,2016-12-03,19:30:00,0,624.4,9.33
220,2016-12-03,19:45:00,0,623.2,9.36
221,2016-12-03,20:00:00,0,624.0,9.35
222,2016-12-03,20:15:00,0,624.0,9.33
223,2016-12-03,20:30:00,0,623.3,9.36
224,2016-12-03,20:45:00,0,623.7,9.33
225,2016-12-03,21:00:00,0,624.3,9.33
226,2016-12-03,21:15:00,0,624.3,9.33
227,2016-12-03,21:30:00,0,623.6,9.35
228,2016-12-03,21:45:00,0,624.0,9.33
229,2016-12-03,22:00:00,0,624.1,9.33
230,2016-12-03,22:15:00,0,623.6,9.33
231,2016-12-03,22:30:00,0,624.4,9.36
232,2016-12-03,22:45:00,0,624.9,9.33
233,2016-12-03,23:00:00,0,624.1,9.35
234,2016-12-03,23:15:00,0,624.4,9.35
235,2016-12-03,23:30:00,0,625.3,9.33
236,2016-12-03,23:45:00,0,625.2,9.35
237,2016-12-04,00:00:00,0,624.7,9.33
238,2016-12-04,00:15:00,0,624.9,9.35
239,2016-12-04,00:30:00,0,624.9,9.35
240,2016-12-04,00:45:00,0,624.4,9.35
241,2016-12-04,01:00:00,0,624.9,9.35
242,2016-12-04,01:15:00,0,625.5,9.36
243,2016-12-04,01:30:00,0,624.8,9.35
244,2016-12-04,01:45:00,0,625.1,9.37
245,2016-12-04,02:00:00,0,626.0,9.35
246,2016-12-04,02:15:00,0,626.1,9.33
247,2016-12-04,02:30:00,0,624.8,9.35
248,2016-12-04,02:45:00,0,626.0,9.35
249,2016-12-04,03:00:00,0,626.5,9.33
250,2016-12-04,03:15:00,0,626.3,9.33
251,2016-12-04,03:30:00,0,626.1,9.35
252,2016-12-04,03:45:00,0,627.1,9.35
253,2016-12-04,04:00:00,0,627.3,9.33
254,2016-12-04,04:15:00,0,626.5,9.35
255,2016-12-04,04:30:00,0,627.2,9.35
256,2016-12-04,04:45:00,0,627.6,9.33
257,2016-12-04,05:00:00,0,627.9,9.33
258,2016-12-04,05:15:00,0,627.2,9.33
259,2016-12-04,05:30:00,0,628.5,9.35
260,2016-12-04,05:45:00,0,629.1,9.35
261,2016-12-04,06:00:00,0,628.4,9.35
262,2016-12-04,06:15:00,0,628.0,9.33
263,2016-12-04,06:30:00,0,629.1,9.35
264,2016-12-04,06:45:00,0,629.6,9.35
265,2016-12-04,07:00:00,0,628.9,9.35
266,2016-12-04,07:15:00,0,629.6,9.35
267,2016-12-04,07:30:00,0,630.3,9.33
268,2016-12-04,07:45:00,0,629.3,9.35
269,2016-12-04,08:00:00,0,630.0,9.35
270,2016-12-04,08:15:00,0,630.1,9.33
271,2016-12-04,08:30:00,0,629.3,9.35
272,2016-12-04,08:45:00,0,630.1,9.35
273,2016-12-04,09:00:00,0,630.7,9.35
274,2016-12-04,09:15:00,0,630.0,9.33
275,2016-12-04,09:30:00,0,629.6,9.35
276,2016-12-04,09:45:00,0,631.1,9.36
277,2016-12-04,10:00:00,0,630.7,9.33
278,2016-12-04,10:15:00,0,630.8,9.33
279,2016-12-04,10:30:00,0,629.9,9.33
280,2016-12-04,10:45:00,0,630.7,9.32
281,2016-12-04,11:00:00,0,630.9,9.35
282,2016-12-04,11:15:00,0,630.5,9.33
283,2016-12-04,11:30:00,0,629.6,9.33
284,2016-12-04,11:45:00,0,629.5,9.35
285,2016-12-04,12:00:00,0,629.1,9.33
286,2016-12-04,12:15:00,0,628.8,9.35
287,2016-12-04,12:30:00,0,629.1,9.35
288,2016-12-04,12:45:00,0,629.6,9.35
289,2016-12-04,13:00:00,0,630.0,9.35
290,2016-12-04,13:15:00,0,629.1,9.35
291,2016-12-04,13:30:00,0,629.2,9.35
292,2016-12-04,13:45:00,0,629.2,9.33
293,2016-12-04,14:00:00,0,629.9,9.33
294,2016-12-04,14:15:00,0,628.9,9.35
295,2016-12-04,14:30:00,0,629.1,9.36
296,2016-12-04,14:45:00,0,630.0,9.35
297,2016-12-04,15:00:00,0,628.4,9.33
298,2016-12-04,15:15:00,0,628.5,9.33
299,2016-12-04,15:30:00,0,629.3,9.35
300,2016-12-04,15:45:00,0,628.8,9.37
301,2016-12-04,16:00:00,0,628.4,9.33
302,2016-12-04,16:15:00,0,628.9,9.35
303,2016-12-04,16:30:00,0,629.7,9.35
304,2016-12-04,16:45:00,0,628.3,9.33
305,2016-12-04,17:00:00,0,628.0,9.33
306,2016-12-04,17:15:00,0,628.8,9.35
307,2016-12-04,17:30:00,0,628.0,9.33
308,2016-12-04,17:45:00,0,628.0,9.35
309,2016-12-04,18:00:00,0,628.8,9.36
310,2016-12-04,18:15:00,0,628.5,9.33
311,2016-12-04,18:30:00,0,627.6,9.35
312,2016-12-04,18:45:00,0,627.6,9.33
313,2016-12-04,19:00:00,0,628.3,9.33
314,2016-12-04,19:15:00,0,626.4,9.35
315,2016-12-04,19:30:00,0,626.4,9.35
316,2016-12-04,19:45:00,0,626.1,9.33
317,2016-12-04,20:00:00,0,624.9,9.33
318,2016-12-04,20:15:00,0,625.1,9.35
319,2016-12-04,20:30:00,0,624.9,9.33
320,2016-12-04,20:45:00,0,624.4,9.33
321,2016-12-04,21:00:00,0,623.7,9.33
322,2016-12-04,21:15:00,0,624.0,9.36
323,2016-12-04,21:30:00,0,624.3,9.35
324,2016-12-04,21:45:00,0,623.5,9.35
325,2016-12-04,22:00:00,0,623.9,9.33
326,2016-12-04,22:15:00,0,624.7,9.33
327,2016-12-04,22:30:00,0,623.9,9.36
328,2016-12-04,22:45:00,0,623.6,9.33
329,2016-12-04,23:00:00,0,624.1,9.35
330,2016-12-04,23:15:00,0,623.7,9.33
331,2016-12-04,23:30:00,0,623.2,9.35
332,2016-12-04,23:45:00,0,623.9,9.35
333,2016-12-05,00:00:00,0,623.6,9.35
334,2016-12-05,00:15:00,0,622.3,9.35
335,2016-12-05,00:30:00,0,622.8,9.33
336,2016-12-05,00:45:00,0,622.7,9.33
337,2016-12-05,01:00:00,0,621.2,9.35
338,2016-12-05,01:15:00,0,621.7,9.33
339,2016-12-05,01:30:00,0,622.0,9.33
340,2016-12-05,01:45:00,0,622.0,9.35
341,2016-12-05,02:00:00,0,620.5,9.33
342,2016-12-05,02:15:00,0,620.7,9.35
343,2016-12-05,02:30:00,0,621.2,9.33
344,2016-12-05,02:45:00,0,620.5,9.35
345,2016-12-05,03:00:00,0,620.5,9.35
346,2016-12-05,03:15:00,0,620.9,9.33
347,2016-12-05,03:30:00,0,620.8,9.33
348,2016-12-05,03:45:00,0,620.1,9.33
349,2016-12-05,04:00:00,0,619.9,9.35
350,2016-12-05,04:15:00,0,620.1,9.33
351,2016-12-05,04:30:00,0,620.0,9.33
352,2016-12-05,04:45:00,0,618.9,9.33
353,2016-12-05,05:00:00,0,619.9,9.33
354,2016-12-05,05:15:00,0,620.3,9.33
355,2016-12-05,05:30:00,0,619.7,9.35
356,2016-12-05,05:45:00,0,619.3,9.33
357,2016-12-05,06:00:00,0,619.5,9.33
358,2016-12-05,06:15:00,0,619.7,9.35
359,2016-12-05,06:30:00,0,619.3,9.33
360,2016-12-05,06:45:00,0,618.4,9.36
361,2016-12-05,07:00:00,0,618.8,9.33
362,2016-12-05,07:15:00,0,618.3,9.33
363,2016-12-05,07:30:00,0,617.7,9.33
364,2016-12-05,07:45:00,0,617.9,9.33
365,2016-12-05,08:00:00,0,618.0,9.33
366,2016-12-05,08:15:00,0,617.6,9.33
367,2016-12-05,08:30:00,0,617.9,9.33
368,2016-12-05,08:45:00,0,617.9,9.35
369,2016-12-05,09:00:00,0,617.1,9.33
370,2016-12-05,09:15:00,0,616.5,9.33
371,2016-12-05,09:30:00,0,616.3,9.33
372,2016-12-05,09:45:00,0,615.9,9.33
373,2016-12-05,10:00:00,0,614.1,9.33
374,2016-12-05,10:15:00,0,615.2,9.35
375,2016-12-05,10:30:00,0,614.8,9.33
376,2016-12-05,10:45:00,0,613.9,9.37
377,2016-12-05,11:00:00,0,614.3,9.33
378,2016-12-05,11:15:00,0,614.8,9.36
379,2016-12-05,11:30:00,0,614.0,9.35
380,2016-12-05,11:45:00,0,614.3,9.35
381,2016-12-05,12:00:00,0,614.8,9.33
382,2016-12-05,12:15:00,0,614.0,9.33
383,2016-12-05,12:30:00,0,614.0,9.35
384,2016-12-05,12:45:00,0,615.3,9.33
385,2016-12-05,13:00:00,0,615.9,9.35
386,2016-12-05,13:15:00,0,614.7,9.33
387,2016-12-05,13:30:00,0,615.6,9.33
388,2016-12-05,13:45:00,0,615.7,9.35
389,2016-12-05,14:00:00,0,615.2,9.35
390,2016-12-05,14:15:00,0,615.7,9.35
391,2016-12-05,14:30:00,0,616.3,9.35
392,2016-12-05,14:45:00,0,617.1,9.33
393,2016-12-05,15:00:00,0,616.1,9.36
394,2016-12-05,15:15:00,0,617.3,9.35
395,2016-12-05,15:30:00,0,618.3,9.35
396,2016-12-05,15:45:00,0,617.2,9.35
397,2016-12-05,16:00:00,0,617.2,9.35
398,2016-12-05,16:15:00,0,618.8,9.35
399,2016-12-05,16:30:00,0,617.9,9.35
400,2016-12-05,16:45:00,0,617.2,9.36
401,2016-12-05,17:00:00,0,618.1,9.35
402,2016-12-05,17:15:00,0,618.5,9.35
403,2016-12-05,17:30:00,0,617.7,9.35
404,2016-12-05,17:45:00,0,618.1,9.35
405,2016-12-05,18:00:00,0,618.0,9.35
406,2016-12-05,18:15:00,0,617.9,9.35
407,2016-12-05,18:30:00,0,617.7,9.36
408,2016-12-05,18:45:00,0,617.6,9.36
409,2016-12-05,19:00:00,0,618.1,9.36
410,2016-12-05,19:15:00,0,616.9,9.36
411,2016-12-05,19:30:00,0,617.3,9.35
412,2016-12-05,19:45:00,0,617.7,9.35
413,2016-12-05,20:00:00,0,617.3,9.35
414,2016-12-05,20:15:00,0,617.3,9.36
415,2016-12-05,20:30:00,0,617.1,9.36
416,2016-12-05,20:45:00,0,617.6,9.36
417,2016-12-05,21:00:00,0,617.9,9.35
418,2016-12-05,21:15:00,0,617.9,9.36
419,2016-12-05,21:30:00,0,618.5,9.35
420,2016-12-05,21:45:00,0,618.9,9.36
421,2016-12-05,22:00:00,0,619.3,9.36
422,2016-12-05,22:15:00,0,618.1,9.36
423,2016-12-05,22:30:00,0,618.5,9.37
424,2016-12-05,22:45:00,0,619.3,9.36
425,2016-12-05,23:00:00,0,619.7,9.36
426,2016-12-05,23:15:00,0,619.1,9.36
427,2016-12-05,23:30:00,0,619.7,9.36
428,2016-12-05,23:45:00,0,621.2,9.35
429,2016-12-06,00:00:00,0,620.7,9.36
430,2016-12-06,00:15:00,0,619.5,9.37
431,2016-12-06,00:30:00,0,620.4,9.36
432,2016-12-06,00:45:00,0,621.1,9.36
433,2016-12-06,01:00:00,0,619.7,9.37
434,2016-12-06,01:15:00,0,620.5,9.36
435,2016-12-06,01:30:00,0,621.1,9.36
436,2016-12-06,01:45:00,0,621.1,9.36
437,2016-12-06,02:00:00,0,620.7,9.36
438,2016-12-06,02:15:00,0,621.7,9.36
439,2016-12-06,02:30:00,0,622.3,9.36
440,2016-12-06,02:45:00,0,621.6,9.36
441,2016-12-06,03:00:00,0,621.7,9.35
442,2016-12-06,03:15:00,0,622.7,9.37
443,2016-12-06,03:30:00,0,622.5,9.36
444,2016-12-06,03:45:00,0,622.0,9.36
445,2016-12-06,04:00:00,0,622.9,9.36
446,2016-12-06,04:15:00,0,623.2,9.37
447,2016-12-06,04:30:00,0,622.9,9.36
448,2016-12-06,04:45:00,0,621.9,9.35
449,2016-12-06,05:00:00,0,622.5,9.35
450,2016-12-06,05:15:00,0,623.5,9.36
451,2016-12-06,05:30:00,0,622.8,9.39
452,2016-12-06,05:45:00,0,623.3,9.37
453,2016-12-06,06:00:00,0,624.1,9.36
454,2016-12-06,06:15:00,0,624.9,9.37
455,2016-12-06,06:30:00,0,623.7,9.36
456,2016-12-06,06:45:00,0,623.7,9.36
457,2016-12-06,07:00:00,0,624.7,9.37
458,2016-12-06,07:15:00,0,624.1,9.35
459,2016-12-06,07:30:00,0,624.3,9.37
460,2016-12-06,07:45:00,0,624.5,9.37
461,2016-12-06,08:00:00,0,624.5,9.36
462,2016-12-06,08:15:00,0,624.7,9.36
463,2016-12-06,08:30:00,0,623.7,9.37
464,2016-12-06,08:45:00,0,624.1,9.38
465,2016-12-06,09:00:00,0,623.9,9.36
466,2016-12-06,09:15:00,0,623.3,9.36
467,2016-12-06,09:30:00,0,623.3,9.37
468,2016-12-06,09:45:00,0,623.2,9.37
469,2016-12-06,10:00:00,0,623.6,9.36
470,2016-12-06,10:15:00,0,623.9,9.36
471,2016-12-06,10:30:00,0,624.3,9.37
472,2016-12-06,10:45:00,0,624.3,9.36
473,2016-12-06,11:00:00,0,623.3,9.37
474,2016-12-06,11:15:00,0,624.1,9.36
475,2016-12-06,11:30:00,0,623.9,9.36
476,2016-12-06,11:45:00,0,624.7,9.38
477,2016-12-06,12:00:00,0,624.1,9.38
478,2016-12-06,12:15:00,0,623.7,9.37
479,2016-12-06,12:30:00,0,623.5,9.38
480,2016-12-06,12:45:00,0,622.9,9.38
481,2016-12-06,13:00:00,0,624.0,9.37
482,2016-12-06,13:15:00,0,623.9,9.36
483,2016-12-06,13:30:00,0,624.0,9.37
484,2016-12-06,13:45:00,0,623.2,9.37
485,2016-12-06,14:00:00,0,623.6,9.37
486,2016-12-06,14:15:00,0,623.5,9.36
487,2016-12-06,14:30:00,0,622.9,9.37
488,2016-12-06,14:45:00,0,622.8,9.36
489,2016-12-06,15:00:00,0,622.9,9.38
490,2016-12-06,15:15:00,0,622.0,9.37
491,2016-12-06,15:30:00,0,621.5,9.35
492,2016-12-06,15:45:00,0,622.4,9.35
493,2016-12-06,16:00:00,0,622.4,9.36
494,2016-12-06,16:15:00,0,621.6,9.37
495,2016-12-06,16:30:00,0,621.3,9.39
496,2016-12-06,16:45:00,0,622.1,9.37
497,2016-12-06,17:00:00,0,621.1,9.38
498,2016-12-06,17:15:00,0,620.3,9.37
499,2016-12-06,17:30:00,0,620.5,9.37
500,2016-12-06,17:45:00,0,620.3,9.37
501,2016-12-06,18:00:00,0,619.2,9.37
502,2016-12-06,18:15:00,0,620.0,9.37
503,2016-12-06,18:30:00,0,619.7,9.36
504,2016-12-06,18:45:00,0,619.1,9.37
505,2016-12-06,19:00:00,0,618.3,9.37
506,2016-12-06,19:15:00,0,618.3,9.37
507,2016-12-06,19:30:00,0,618.3,9.38
508,2016-12-06,19:45:00,0,617.5,9.37
509,2016-12-06,20:00:00,0,617.7,9.38
510,2016-12-06,20:15:00,0,617.7,9.38
511,2016-12-06,20:30:00,0,617.2,9.38
512,2016-12-06,20:45:00,0,616.9,9.37
513,2016-12-06,21:00:00,0,617.6,9.38
514,2016-12-06,21:15:00,0,618.3,9.39
515,2016-12-06,21:30:00,0,616.9,9.37
516,2016-12-06,21:45:00,0,617.3,9.38
517,2016-12-06,22:00:00,0,617.9,9.37
518,2016-12-06,22:15:00,0,616.7,9.38
519,2016-12-06,22:30:00,0,616.9,9.36
520,2016-12-06,22:45:00,0,616.8,9.38
521,2016-12-06,23:00:00,0,616.7,9.39
522,2016-12-06,23:15:00,0,616.7,9.39
523,2016-12-06,23:30:00,0,617.1,9.38
524,2016-12-06,23:45:00,0,617.1,9.38
525,2016-12-07,00:00:00,0,616.3,9.37
526,2016-12-07,00:15:00,0,616.4,9.38
527,2016-12-07,00:30:00,0,616.5,9.37
528,2016-12-07,00:45:00,0,617.2,9.38
529,2016-12-07,01:00:00,0,616.1,9.37
530,2016-12-07,01:15:00,0,616.3,9.38
531,2016-12-07,01:30:00,0,616.9,9.38
532,2016-12-07,01:45:00,0,617.1,9.39
533,2016-12-07,02:00:00,0,616.3,9.38
534,2016-12-07,02:15:00,0,616.7,9.40
535,2016-12-07,02:30:00,0,617.1,9.38
536,2016-12-07,02:45:00,0,616.0,9.38
537,2016-12-07,03:00:00,0,616.7,9.37
538,2016-12-07,03:15:00,0,617.1,9.37
539,2016-12-07,03:30:00,0,616.5,9.38
540,2016-12-07,03:45:00,0,615.7,9.38
541,2016-12-07,04:00:00,0,616.7,9.37
542,2016-12-07,04:15:00,0,616.9,9.36
543,2016-12-07,04:30:00,0,616.5,9.37
544,2016-12-07,04:45:00,0,615.9,9.39
545,2016-12-07,05:00:00,0,616.5,9.37
546,2016-12-07,05:15:00,0,616.7,9.37
547,2016-12-07,05:30:00,0,615.6,9.39
548,2016-12-07,05:45:00,0,615.7,9.37
549,2016-12-07,06:00:00,0,616.5,9.39
550,2016-12-07,06:15:00,0,615.6,9.37
551,2016-12-07,06:30:00,0,614.7,9.38
552,2016-12-07,06:45:00,0,615.9,9.37
553,2016-12-07,07:00:00,0,616.3,9.38
